#Sample;Voltage;FilteredVoltage
0;4.97283925901059;4.8862704920665575e-05
1;4.967776604510636;0.00024382959966315863
2;4.964589007232886;0.0006323324180160539
3;4.969651661732841;0.001212581151268288
4;4.991214819788201;0.0019831367788387725
5;4.98690218817713;0.002942716608626831
6;4.941900814844203;0.00408929568807002
7;4.975089327677236;0.005420574053975685
8;4.977526902066104;0.006935099444476104
9;4.975651844843898;0.008631546842150431
10;4.972276741843928;0.010508194154408044
11;4.9638389843440045;0.012563205841036266
12;4.969839167455062;0.01479478322561337
13;4.967776604510636;0.017201291366769615
14;4.965339030121768;0.019781082644495167
15;4.972276741843928;0.022532522730876803
16;4.956713766899625;0.025453944476354972
17;4.9792144535660885;0.028543712750149493
18;4.97621436201056;0.031800476632216426
19;4.974151799066134;0.035222772675156354
20;4.9719017303994875;0.03880890988501099
21;4.9642139957884455;0.04255715788467291
22;4.968526627399518;0.04646580444517949
23;4.968526627399518;0.05053328620397367
24;4.966276558732871;0.05475805844032335
25;4.953338663899656;0.0591383923054022
26;4.946775963621937;0.06367239862809887
27;4.953901181066317;0.06835835367269484
28;4.9953399456770535;0.07319521177706607
29;4.981089510788293;0.07818219222141405
30;4.97621436201056;0.08331785018010221
31;4.9720892361217075;0.08860039217921734
32;4.970589190343944;0.09402816749148511
33;4.970214178899503;0.09959960429622398
34;4.966276558732871;0.10531315192819923
35;4.969464156010621;0.11116727890900455
36;4.958213812677389;0.11716042493471403
37;5.001527634510331;0.1232913604632578
38;4.988589739677114;0.12955923910916337
39;4.980902005066073;0.1359626988732675
40;4.965339030121768;0.14249985754549666
41;4.972651753288369;0.1491689659111424
42;4.9711517075106055;0.15596857061807237
43;4.95858882412183;0.16289716892722517
44;4.937775688955351;0.16995288125858812
45;4.957463789788507;0.1771339667903043
46;4.988777245399334;0.18443952425993723
47;4.99083980834376;0.19186899449025444
48;4.979026947843868;0.19942122143784138
49;4.976776879177221;0.20709458833016703
50;4.96571404156621;0.2148874529301826
51;4.971339213232826;0.22279826758315266
52;4.970401684621723;0.230825670561552
53;4.94808850367748;0.23896813257241378
54;4.946213446455275;0.24722384959726573
55;4.956713766899625;0.25559134233603187
56;4.990089785454878;0.26406980897880067
57;4.984652119510483;0.27265864021592356
58;4.978464430677206;0.28135668243519174
59;4.974901821955016;0.29016241761178224
60;4.9715267189550465;0.29907438297759603
61;4.965526535843989;0.30809112821436685
62;4.968714133121738;0.3172112522488408
63;4.9312129886776335;0.3264331172977794
64;4.950901089510788;0.33575494867439126
65;4.974339304788354;0.3451757443800934
66;4.98371459089938;0.35469500484294636
67;4.982589556566058;0.36431188835109257
68;4.975839350566119;0.37402515699766264
69;4.9720892361217075;0.38383339579695896
70;4.968714133121738;0.3937352059178064
71;4.968901638843959;0.40372926908016954
72;4.968714133121738;0.4138143450519617
73;4.93721317178869;0.42398892094837753
74;4.957838801232948;0.4342513868904205
75;4.995152439954833;0.444601024461004
76;4.978089419232765;0.45503742401327946
77;4.977901913510545;0.46555943730556776
78;4.9719017303994875;0.47616566310846237
79;4.966464064455092;0.48685476639342234
80;4.970589190343944;0.4976254685875261
81;4.968339121677297;0.508476630032998
82;4.933838068788721;0.5194067697750384
83;4.961026398510697;0.5304143265774692
84;5.002090151676993;0.5414987817254175
85;4.9880272225104525;0.5526599552324445
86;4.935338114566485;0.5638963391497778
87;4.961963927121799;0.5752059145089012
88;4.964401501510666;0.586587618799605
89;4.963276467177343;0.5980406650688241
90;4.941525803399762;0.6095637601720681
91;4.946213446455275;0.6211554390946168
